Screening ID,rayyan-key,doi,Status,Motivo para exclusão,Observações gerais do artigo,Quem,Outcomes
64,rayyan-115931443,10.4314/tjpr.v18i3.2,Excluído,8 - Artigo retratado,,Nathalia Fernandes,
65,rayyan-115927607,10.2174/156720507781788927,Excluído,6 - Não inclui um controle adequado,,Nathalia Fernandes,
66,rayyan-115924930,10.1021/bi501239q,Incluído,,,Nathalia Fernandes,"88,89"
67,rayyan-115933727,10.1016/j.tiv.2013.05.005,Excluído,6 - Não inclui um controle adequado,,Nathalia Fernandes,
68,rayyan-115937681,10.1006/exnr.1994.1022,Incluído,,,Nathalia Fernandes,90
69,rayyan-115924471,10.14336/AD.2015.0327,Excluído,7 - Não inclui uma medida de toxicidade,,Nathalia Fernandes,
70,rayyan-115922496,10.1007/s00018-019-03287-y,Excluído,7 - Não inclui uma medida de toxicidade,,Nathalia Fernandes,
71,rayyan-115922919,10.1038/s41598-018-35645-4,Excluído,7 - Não inclui uma medida de toxicidade,,Nathalia Fernandes,
72,rayyan-115924590,10.1371/journal.pone.0136528,Incluído,,,Nathalia Fernandes,91
73,rayyan-115928863,PMID: 12671312,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Fernandes,
74,rayyan-115923375,10.3389/fncel.2018.00001,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Nathalia Fernandes,
75,rayyan-115934585,10.1016/j.neurobiolaging.2009.02.018,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Fernandes,
76,rayyan-115925415,10.1016/j.ejphar.2013.09.023,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Nathalia Fernandes,
77,rayyan-115925414,10.1371/journal.pone.0072169,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Nathalia Fernandes,
78,rayyan-115924860,10.3762/bjoc.10.272,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Nathalia Fernandes,
79,rayyan-115925356,10.1038/aps.2013.104,Excluído,6 - Não inclui um controle adequado,,Nathalia Fernandes,
80,rayyan-115923078,10.1097/WNR.0000000000001103,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Nathalia Fernandes,
81,rayyan-115922970,10.3390/ijms19113304,Incluído,,,Nathalia Fernandes,92
82,rayyan-115922523,10.3390/brainsci9080196,Incluído,,,Nathalia Fernandes,93
83,rayyan-115927707,10.1124/mol.106.033738,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Nathalia Fernandes,
84,rayyan-115922524,10.1016/j.ejmech.2019.111585,Incluído,,,Nathalia Fernandes,"94,95"
85,rayyan-115924544,10.5114/fn.2015.54423,Incluído,,,Nathalia Fernandes,"96,97,98,99"
86,rayyan-115922391,10.1021/acs.jnatprod.9b00701,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Nathalia Fernandes,
87,rayyan-115924093,10.1021/acschemneuro.6b00159,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Nathalia Fernandes,
88,rayyan-115935412,10.1016/j.brainresbull.2007.10.035,Incluído,,,Nathalia Fernandes,"100,101"
89,rayyan-115934525,10.1016/j.ejphar.2011.01.065,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Fernandes,
90,rayyan-115933443,10.1016/j.freeradbiomed.2014.06.013,Incluído,,,Nathalia Fernandes,"102,103"
91,rayyan-115935479,10.1007/s12017-008-8046-x,Incluído,,,Nathalia Fernandes,104
92,rayyan-115932376,10.1039/C6MD00716C,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Nathalia Fernandes,
93,rayyan-115927562,10.1016/j.brainres.2007.10.064,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Fernandes,
94,rayyan-115934509,10.1091/mbc.E10-07-0654,Excluído,4 - Não usa célula SHSY-5Y como modelo,,Nathalia Fernandes,
95,rayyan-115934146,10.1016/j.ejps.2012.01.015,Excluído,6 - Não inclui um controle adequado,,Nathalia Fernandes,
96,rayyan-115928779,10.1016/s0306-4522(03)00342-7,Incluído,,,Nathalia Fernandes,"105,106"
97,rayyan-115923328,10.1038/s41598-018-21933-6,Incluído,,,Nathalia Fernandes,107
98,rayyan-115933823,10.1016/j.bmcl.2012.12.087,Excluído,5 - Não usa isoformas de 37 a 43 aminoácidos,,Nathalia Fernandes,
99,rayyan-115923461,10.1007/s00429-017-1563-3,Excluído,7 - Não inclui uma medida de toxicidade,,Nathalia Fernandes,
100,rayyan-115922048,10.4103/1673-5374.282261,Excluído,7 - Não inclui uma medida de toxicidade,,Nathalia Fernandes,
