Fig_ID,Article_ID,figure,dep_variable,control_name,treated_name,OBS,Results
319,130,6C,MTT reduction (%),CTRL,Aβ,,"373,374"
320,130,S1A,MTT reduction (%),CTRL,Aβ,,"375,376"
321,130,S1B,MTT reduction (%),CTRL,Aβ,,"377,378"
318,131,2,Reduction in mitochondrial activity (% of control),control,Aβ1-42,,"383,384"
322,131,3,Reduction in mitochondrial activity (% of control),control,Aβ1-42,,385
323,132,2A (Left panel),,,,,
324,132,2A  (Central panel),,,,,
325,132,2A (Right panel),,,,,
326,133,4F,Cell viability (%),control,Aβ oligomer,,386
327,134,4,MTT reduction (% of Control)),control,DMSO,,402
328,135,2,Viability (%),0,Aβ1-42 concentration (uM),,"387,388,389,390,391,392"
329,136,7A,Cell viability (% of control),100% viability,time (h),,"393,394,395,396,397"
330,136,9B,Cell viability (% of control),C,Aβ ,,398
331,136,10B,Cell viability (ratio to controls),NT,Aβ ,,399
332,136,10C,Cell viability (ratio to controls),NT,Aβ ,,400
333,136,10D,Cell viability (ratio to controls),NT,Aβ ,,401
334,105,4C,Cell viability,---,Aβ concentrations,,"403,404"
