"";"Screening.ID";"rayyan.key";"doi";"Status";"Motivo.para.exclusão";"Observações.gerais.do.artigo";"Quem";"Outcomes";"X.U.FEFF.Outcomes.ID";"Método";"Figura";"Grupos";"Observações.gerais.da.figura.ou.desfecho"
"75";50;"rayyan-115922121";"10.18632/aging.102985";"A discutir";"";"Não descreve qual abeta utiliza, se 1-40, 1-42. Incluído na lista de contato aos autores.";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"76";52;"rayyan-115926610";"10.1016/j.neuint.2010.09.011";"Excluído";"6 - Não inclui um controle adequado";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"77";54;"rayyan-115923290";"10.1109/TNB.2018.2800723.";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"78";55;"rayyan-115923703";" 10.1038/s41598-017-01798-x";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"79";56;"rayyan-115924877";"10.1016/j.bmcl.2014.11.068";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"80";58;"rayyan-115923469";"10.1016/j.ijbiomac.2017.11.082";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"81";59;"rayyan-115926474";"10.1523/JNEUROSCI.5491-10.2011";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"82";61;"rayyan-115937342";"10.1002/(SICI)1097-4547(19970915)49:6<759::AID-JNR10>3.0.CO;2-N";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"83";62;"rayyan-115922452";"10.1186/s12867-019-0140-0";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"84";64;"rayyan-115923124";"10.3233/JAD-180163";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"85";65;"rayyan-115924266";"10.1007/s11064-016-1945-6.";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"86";66;"rayyan-115927219";"10.1016/j.trsl.2008.12.003";"Excluído";"3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"87";67;"rayyan-115922666";"10.1016/j.neulet.2019.04.045";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"88";68;"rayyan-115934911";"10.3233/JAD-2010-1226";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"89";72;"rayyan-115921677";"10.1021/acs.jnatprod.0c00901";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"90";73;"rayyan-115933369";"10.1016/j.ejmech.2013.10.068";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"91";74;"rayyan-115921692";"10.1002/mgg3.1548";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"92";77;"rayyan-115922848";"10.1080/09168451.2018.1562874";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"93";78;"rayyan-115925575";" 10.1039/c3bm60029g";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"utiliza formas de abeta conjugadas com NAC–QDs
";"Ana Paula Sampaio";"68";68;"";"";"";""
"94";79;"rayyan-115934735";" 10.1038/emboj.2010.211";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"95";81;"rayyan-115927869";"10.1002/pmic.200600634";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"96";84;"rayyan-115927154";" 10.1074/jbc.M109.011015";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"97";86;"rayyan-115931679";" 10.1523/JNEUROSCI.1996-17.2018";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"98";87;"rayyan-115923768";" 10.1016/j.jsbmb.2017.04.010";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"99";88;"rayyan-115927129";" 10.1007/s12192-009-0122-0";"Excluído";"6 - Não inclui um controle adequado";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"100";89;"rayyan-115923897";"10.1007/s10571-017-0467-3";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"101";91;"rayyan-115925905";" 10.1016/j.neuint.2012.07.010";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"102";92;"rayyan-115923790";" 10.1016/j.neuroscience.2017.03.059";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"103";93;"rayyan-115925996";" 10.3390/molecules17055520";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"104";96;"rayyan-115924182";" 10.1021/acsami.6b06853";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"105";98;"rayyan-115923062";"10.1007/s13346-018-0570-0";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"106";99;"rayyan-115925915";" 10.1111/j.1471-4159.2012.07873.x";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"107";101;"rayyan-115922547";" 10.1016/j.bbagen.2019.07.009";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"108";102;"rayyan-115924151";"10.4103/1673-5374.184500";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"109";104;"rayyan-115929198";"10.1016/s0014-5793(01)02761-2";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"110";105;"rayyan-115931592";"10.3389/fnagi.2019.00135";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"Células transfectadas";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"111";106;"rayyan-115922797";"10.3390/ijms20040829";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"112";107;"rayyan-115936121";" 10.1126/science.1105850";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"113";111;"rayyan-115929016";"10.1080/10284150290032012";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"114";112;"rayyan-115925606";"10.1016/j.bbrc.2013.04.065";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"115";113;"rayyan-115922779";"10.1016/j.bmc.2019.02.031.";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"116";114;"rayyan-115934714";"10.1016/j.nbd.2010.06.013";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"117";117;"rayyan-115933746";"10.1016/j.fitote.2013.05.006";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"118";121;"rayyan-115926682";"10.1016/j.brainres.2010.08.023";"Excluído";"6 - Não inclui um controle adequado";"Usa SHSY transfectada com miRNA";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"119";122;"rayyan-115935648";"10.1523/JNEUROSCI.5053-06.2007";"Excluído";"7 - Não inclui uma medida de toxicidade";"O paper não reporta dados dos métodos de avaliação de toxicidade de Abeta sobre células SHSY que nos interessam nessa revisão sistemática.
";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"120";124;"rayyan-115923518";"10.1016/j.ejmech.2017.09.043";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"121";125;"rayyan-115927111";"10.1016/j.brainres.2009.05.101";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"122";127;"rayyan-115924439";"10.1111/jnc.13514";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"123";129;"rayyan-115928729";"10.1096/fj.03-0078fje";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"124";134;"rayyan-115927094";"10.1016/j.jneuroim.2009.06.003";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"125";136;"rayyan-115928727";" 10.1016/j.bbrc.2003.09.100";"Excluído";"4 - Não usa célula SHSY-5Y como modelo";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"126";135;"rayyan-115924369";"10.1007/s11064-016-1857-5";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"127";137;"rayyan-115924365";" 10.3233/JAD-150756";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"128";138;"rayyan-115922348";"10.3390/molecules24234353";"Excluído";"5 - Não usa isoformas de 37 a 43 aminoácidos";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"129";140;"rayyan-115925762";"10.3390/ijms131114766";"Excluído";"3 - Não descreve experimentos com a administração do peptídeo ß-amiloide com formulação quimicamente definida";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
"130";142;"rayyan-115924258";"10.1007/s12264-016-0034-9";"Excluído";"7 - Não inclui uma medida de toxicidade";"";"Ana Paula Sampaio";"";NA;NA;NA;NA;NA
