Fig_ID,Article_ID,figure,dep_variable,control_name,treated_name,OBS,Results
301,127,Figure S6a,PRECISA SOLICITAR O SUPLEMENTAR,PRECISA SOLICITAR O SUPLEMENTAR,PRECISA SOLICITAR O SUPLEMENTAR,PRECISA SOLICITAR O SUPLEMENTAR,334
302,128,Figure 7,% Cell Viability,Control,Ab 5uM,,335
303,129,Figure 4E,% Viability of cells,Control,0,,336
304,129,Figure 4F,% Viability of cells,Control,0,,337
305,130,Figure 7A,Cell viability (% of control),Control,Ab 1-42,,338
306,130,Figure 8D,Cell viability (% of control),Control,Ab 1-42,,339
307,131,Figure 2B,Cell Proliferation (% of control),Control,Ab,,340
308,131,Figure 4A,Cell Proliferation (% of control),Control,Ab,,341
309,132,Figure 5,Cell Viability (%),Control,59 ug/mL Ab 1-42,,342
310,133,Figure 3A,Cell Survival,0,Ab,,"343,344,345,346,347"
311,134,Figure 2,OD Viability (%),Kontrole,Ab 1-40 e Ab 1-42,,"348,349"
312,135,Figure 1B,MTT reduction (% of untreated cells),Control,"A+, A- e ADDLs",,"350,351,352"
313,136,Figure 6C,Cell viability (% of control),DMSO Control,Ab42 (uM),,"353,354,355,356"
314,92,O autor não apresenta o gráfico dos resultados do MTT. Apenas traz o IC50. Já foi incluído na planilha de contato com os autores. ,O autor não apresenta o gráfico dos resultados do MTT. Apenas traz o IC50. Já foi incluído na planilha de contato com os autores. ,O autor não apresenta o gráfico dos resultados do MTT. Apenas traz o IC50. Já foi incluído na planilha de contato com os autores. ,O autor não apresenta o gráfico dos resultados do MTT. Apenas traz o IC50. Já foi incluído na planilha de contato com os autores. ,O autor não apresenta o gráfico dos resultados do MTT. Apenas traz o IC50. Já foi incluído na planilha de contato com os autores. ,357
315,113,FIgure 6B,Viability (% of control),Ab42 -,Ab42 fibrils,,358
316,137,Figure 3A,Cell Viability (% of control),Control,Ab 1-40,,359
317,137,Figure 3B,Cell Viability (%),Control,Ab 1-40,,"360,361,362,363"
318,137,Figure S2B,Cell Viability (% of control),Control,Ab 1-40,,364
319,138,Figure 1B,% of survival,Control,Ab oligomer 1.5uM,,365
320,138,Figure 1D,% of survival,Control,Ab oligomer 1.5uM,,366
321,138,Figure 5,% of survival,Control,Ab oligomer ,,367
322,139,Figure 6,Cell Viability (%),Control,Ab,,368
323,140,Figure 7A,Cell Viability (%),C,Ab,,369
324,141,Figure 7B,Cell Viability (% of control),Control,Ab1-42 (25uM),,370
